name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago, IL, United States",2016-03-11,11.5,3.1,5.9,11.5,1.2,4.4,0.3,68.8,0,0,0,,0,0,,16.1,76.9,1027.4,59.8,15.9,,,,,2016-03-11T06:08:09,2016-03-11T17:53:12,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-12,15,3.3,8.4,15,2.5,8,4.1,75,0,0,0,,0,0,,16.9,75.2,1020.4,85.9,11,,,,,2016-03-12T06:06:28,2016-03-12T17:54:20,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-13,9.4,6.5,8,7.8,4.3,5.8,6.5,90.7,17.159,100,79.17,rain,0,0,35.9,25.7,54.6,1009.1,100,7.5,,,,,2016-03-13T07:04:47,2016-03-13T18:55:29,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-14,11.6,6.7,8.4,11.6,4.3,7.4,6.3,87,2.814,100,25,rain,0,0,,14.5,26.4,1006.2,98.5,11.7,,,,,2016-03-14T07:03:05,2016-03-14T18:56:37,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-15,16.2,8.1,11.6,16.2,6.9,10.9,8.2,79.7,1.795,100,8.33,rain,0,0,51.4,37.3,100.9,1004.9,95.5,10.7,,,,,2016-03-15T07:01:23,2016-03-15T18:57:45,0.25,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-16,14,9,11.4,14,4.7,10.1,3,59,5.628,100,41.67,rain,0,0,80,54.2,246.9,1001.6,77.1,15.2,,,,,2016-03-16T06:59:41,2016-03-16T18:58:53,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-17,13.1,5.7,9.4,13.1,1.8,7.6,-2.7,43.6,0,0,0,,0,0,56.6,37.7,262.3,1010.8,29,16,,,,,2016-03-17T06:57:59,2016-03-17T19:00:01,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-18,7.9,1.3,4.7,6.2,-2.8,1.2,-2.3,61.1,0,0,0,,0,0,40,26.6,345.9,1018.2,51.1,16,,,,,2016-03-18T06:56:16,2016-03-18T19:01:09,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-19,6.9,1.9,3.8,4.7,-1.8,0.7,-1.5,68.8,0,0,0,,0,0,,20.5,40,1021.8,92,16,,,,,2016-03-19T06:54:34,2016-03-19T19:02:16,0.37,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-20,6.4,0.2,3.4,3.2,-4.4,-0.1,-3.8,60.4,0,0,0,,0,0,40.7,25.8,25.7,1022.3,61.1,16,,,,,2016-03-20T06:52:51,2016-03-20T19:03:24,0.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-21,9.5,-0.1,4.8,7.8,-3.2,2.7,-4.8,51.8,0,0,0,,0,0,,15.2,254.2,1020.3,46.7,16,,,,,2016-03-21T06:51:08,2016-03-21T19:04:31,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-22,18.3,6.7,11.7,18.3,2.9,10.2,0.5,47.1,0.242,100,4.17,rain,0,0,44.6,31.1,212.4,1008.1,81.4,16,,,,,2016-03-22T06:49:25,2016-03-22T19:05:38,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-23,9.8,4,5.1,7.1,-0.8,1.1,2.2,81.5,1.828,100,29.17,rain,0,0,40.1,27.3,29.1,1010.2,98.8,10.4,,,,,2016-03-23T06:47:42,2016-03-23T19:06:45,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-24,3.8,-0.4,2.5,1.2,-6.8,-2.1,1.1,90.9,25.737,100,79.17,"rain,snow",0,0,52,33.8,355.8,1003.7,100,8.2,,,,,2016-03-24T06:45:59,2016-03-24T19:07:52,0.54,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-25,7.2,-0.8,2.5,5.4,-7.2,-0.3,-3.1,67.3,0.032,100,4.17,"rain,snow",0,0,42.5,26.9,22.4,1018,53.8,16,,,,,2016-03-25T06:44:17,2016-03-25T19:08:58,0.57,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-26,11.9,0.9,6.2,11.9,-1.8,4.4,0.4,67.5,0,0,0,,0,0,29.5,22.8,114.5,1020.8,64.8,15.8,,,,,2016-03-26T06:42:34,2016-03-26T19:10:05,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-27,18,5,9.2,18,2.6,7.8,3.7,70.2,4.763,100,16.67,rain,0,0,45,28.9,270.4,1013.7,73.2,15.1,,,,,2016-03-27T06:40:51,2016-03-27T19:11:12,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-28,10.8,4,7.3,10.8,2.1,4.8,1.9,68.9,0,0,0,,0,0,38.9,27,323.6,1018.1,77.2,16,,,,,2016-03-28T06:39:09,2016-03-28T19:12:18,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-29,14.7,1.4,7.9,14.7,1.3,7.2,-1.3,56.6,0,0,0,,0,0,35.3,21.4,116.6,1025,40.2,15.6,,,,,2016-03-29T06:37:26,2016-03-29T19:13:25,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-30,15.8,7.5,11.3,15.8,4.5,10.2,3.9,61.5,6.846,100,29.17,rain,0,0,56.5,36.9,177.9,1010.6,95.5,14.9,,,,,2016-03-30T06:35:44,2016-03-30T19:14:31,0.74,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-03-31,19,8.8,15,19,6.3,14.8,10.7,76.2,4.269,100,54.17,rain,0,0,58.2,35.4,228,995.6,94.8,15.2,,,,,2016-03-31T06:34:02,2016-03-31T19:15:37,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-01,9.6,4,6.3,7.1,-0.7,3.8,1.6,72.5,2.993,100,37.5,rain,0,0,66.6,26.7,287.5,1006.7,83.9,15.6,,,,,2016-04-01T06:32:21,2016-04-01T19:16:44,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-02,4.1,-0.4,1.6,-1.2,-5.2,-4.1,-5.9,58.3,0.404,100,16.67,"rain,snow",0,0,79.6,50,289.6,1007.9,56.1,14.2,,,,,2016-04-02T06:30:39,2016-04-02T19:17:50,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-03,22.1,-2,8.7,22.1,-5.2,6.8,-3.5,44.1,0,0,0,,0,0,66.3,43.8,219.8,1010.3,63.1,16,,,,,2016-04-03T06:28:58,2016-04-03T19:18:56,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-04,4.7,-0.4,1.5,-0.4,-5.7,-3.8,-4,67,0,0,0,,0,0,52.7,33.8,7.4,1020.5,98.9,15.3,,,,,2016-04-04T06:27:17,2016-04-04T19:20:02,0.91,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-05,7.6,-2.3,2.9,4.1,-5.2,-0.6,-6.7,51,0.624,100,8.33,rain,0,0,40.2,23.7,132.5,1028,51.4,15.9,,,,,2016-04-05T06:25:37,2016-04-05T19:21:08,0.94,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-06,9.8,6.1,8,7.6,2.7,5.1,3.8,75.8,10.282,100,79.17,rain,0,0,38.9,25.4,217.9,1003.8,99.8,12.6,,,,,2016-04-06T06:23:57,2016-04-06T19:22:15,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-07,6.9,2.5,4.2,3.5,-3,-0.2,-1.1,69.1,0.828,100,20.83,rain,0,0,44.9,31.2,320.3,1005.7,99.2,15.1,,,,,2016-04-07T06:22:18,2016-04-07T19:23:21,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-08,5.7,-1.2,2.8,1.2,-6.8,-1.4,-3.4,65.2,1.74,100,20.83,"rain,snow",0.7,0.3,56.9,35.9,302.7,1010.8,88.7,14.2,,,,,2016-04-08T06:20:39,2016-04-08T19:24:27,0.04,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-09,2.6,-4.7,-0.8,1.9,-11.6,-6.2,-10.2,50.2,0.132,100,4.17,"rain,snow",0.5,1,59,33.7,11.8,1023,37.2,15.6,,,,,2016-04-09T06:19:00,2016-04-09T19:25:33,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-10,10.4,0.8,5.2,10.4,-4.6,1.2,0.3,71.8,3.033,100,62.5,"rain,snow",0,0.1,48.1,30.6,179.1,1012.4,99,12.6,,,,,2016-04-10T06:17:22,2016-04-10T19:26:39,0.11,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-11,10.8,5.3,8.9,10.8,2.4,6.9,0.6,60.4,0.072,100,8.33,rain,0,0,46.6,31.3,287.6,1012.8,68.9,14.2,,,,,2016-04-11T06:15:45,2016-04-11T19:27:46,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-12,7.2,0.7,4.2,5.1,-2.7,1.3,-5.7,49,0,0,0,,0,0,31.7,21,48.2,1027.1,4.9,16,,,,,2016-04-12T06:14:08,2016-04-12T19:28:52,0.18,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-13,12.6,2.3,7.3,12.6,0.2,6,-2,52.7,0,0,0,,0,0,27.7,23,96.5,1026.7,71.2,16,,,,,2016-04-13T06:12:31,2016-04-13T19:29:58,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-14,15.9,4.5,9.9,15.9,2,8.8,-2.4,44.6,0,0,0,,0,0,25.9,20,98.3,1024.5,24.8,16,,,,,2016-04-14T06:10:56,2016-04-14T19:31:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-15,19.8,6.9,12.8,19.8,4.8,12.2,0.6,44.6,0,0,0,,0,0,,19.6,81.9,1023.3,14.1,16,,,,,2016-04-15T06:09:21,2016-04-15T19:32:10,0.28,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-16,23.8,8.1,15.7,23.8,7,15.5,4,47.9,0,0,0,,0,0,,21.8,68.8,1025.3,9.3,16,,,,,2016-04-16T06:07:47,2016-04-16T19:33:17,0.31,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-17,26.3,10.2,18,26.3,10.2,18,3.8,41.6,0,0,0,,0,0,,23.4,78.8,1027.6,16.9,16,,,,,2016-04-17T06:06:13,2016-04-17T19:34:23,0.35,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-18,27.9,11.7,19.7,26.7,11.7,19.5,4,38.1,0,0,0,,0,0,,19.1,105.5,1024.6,59.3,16,,,,,2016-04-18T06:04:41,2016-04-18T19:35:29,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-19,15.3,8.4,11.6,15.3,5.8,11,5,64,0,0,0,,0,0,42.5,28.1,28.2,1022.8,90.2,16,,,,,2016-04-19T06:03:09,2016-04-19T19:36:35,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-20,21.7,11.5,16.3,21.7,11.5,16.3,6.1,52.7,7.43,100,16.67,rain,0,0,35.3,23.8,131.5,1017.6,85.7,15,,,,,2016-04-20T06:01:38,2016-04-20T19:37:41,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-21,21.3,13.5,16.6,21.3,13.5,16.6,10.7,71.4,2.593,100,12.5,rain,0,0,51.9,32.1,232.5,1009.8,89.2,12.4,,,,,2016-04-21T06:00:08,2016-04-21T19:38:48,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-22,13.8,6.4,9.5,13.8,2.4,7.6,4.9,73.4,0,0,0,,0,0,47.9,28.2,10.2,1016.4,68.1,14.3,,,,,2016-04-22T05:58:39,2016-04-22T19:39:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-23,15,4.9,9.8,15,2.6,8.6,3.3,65,0,0,0,,0,0,,17.3,60.9,1021,44.8,16,,,,,2016-04-23T05:57:10,2016-04-23T19:41:00,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-24,25.5,7.1,16.7,25.5,6.3,16.4,7.5,56.6,0,0,0,,0,0,35.3,22.1,166.6,1013.9,62.4,16,,,,,2016-04-24T05:55:43,2016-04-24T19:42:06,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-25,28,16.3,22.5,27.6,16.3,22.4,11.5,50.8,0.853,100,16.67,rain,0,0,49.9,32.4,205.7,1005.2,77.6,16,,,,,2016-04-25T05:54:17,2016-04-25T19:43:12,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-26,22.3,6.6,9.1,22.3,2.2,6.1,5.4,78.5,0,0,0,,0,0,46,31,28.4,1010.4,91.9,12.1,,,,,2016-04-26T05:52:51,2016-04-26T19:44:18,0.65,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-27,9.5,6.2,7.6,7.1,2,4,3.8,77.4,7.156,100,29.17,rain,0,0,47.9,34.8,56.7,1012.6,98.5,14.5,,,,,2016-04-27T05:51:27,2016-04-27T19:45:23,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-28,9.9,6.7,8,7.5,3.2,5.3,5,81.8,12.721,100,29.17,rain,0,0,35.3,21.7,47.5,1012.5,99.8,11.5,,,,,2016-04-28T05:50:04,2016-04-28T19:46:29,0.72,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-29,9.9,6.3,7.6,7.7,3.5,5.1,4.1,78.6,0.104,100,8.33,rain,0,0,,19.3,16.3,1019.1,98.5,11.6,,,,,2016-04-29T05:48:42,2016-04-29T19:47:35,0.75,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"Chicago, IL, United States",2016-04-30,9.5,6.8,7.9,6.8,3.1,4.7,5.1,82.4,16.948,100,58.33,rain,0,0,48,33.7,66.8,1016.2,98.7,9.2,,,,,2016-04-30T05:47:21,2016-04-30T19:48:40,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
